text,label
RT @user: @user @user   وصلنا لاقتصاد اسوء من سوريا والعراق ومن غير حربانجاز ده ولا مش انجاز يا متعلمين يا بتوع المدا…,0
كاني ويست، دريك، نيكي، بيونسيه، قاقا http,1
@user على فكره شركة محترمه حداعطوني كيبل كهديه  ويوم قتله انه شحنه بيكلفني اكثر من قيمته قال دش امازون واختار اي شي قيمته ٣٠ دولار,2
RT @user: المتعه افضل من الزواج لهتك اعراض عامة #الشيعهعبث باسم الاسلام  http,0
القوات البرية السعودية والقوات الفرنسية الخاصة تؤديان التمرين المشترك «سانتول» http,1
@user @user اي علمي هاشم الي عنده بيونسيه افضل وحده وهي اغانيها,2
RT @user: يحرقون حلب ثم يبكون اليمن .. #أحقر_الناس,0
@user اهيه الي مسويه اكونت غوتشي امس اتوقع!,1
@user راح يشلخونكم الساحر ميسي والمجنون سواريز ونيمار11ي ططططححححااااالللبب🐸🐸🐸🐸🐸🐸وبتشوف👈🐸🐸🐸🐸😂😂😂,2
"#القرموطي لـ""#المملكة"":حذاري من محاولة الحديث عن #مصر وموقفكم في مصلحة لـ #إسرائيل#السعودية… http",0
RT @user: الاسلام دين الرحمة وإكرام النفس ولم يأمر بهذه الأفعال التي لايفعلها إلا مجنون#شرك_الرافضه_في_عاشورا  http,1
@user اسمع اغنية halo ل بيونسيه واغنية pillow talk ل زين مالك فخمين وكمان flashlight ل جيسي,2
"RT @user: ""اذا فزت فسأرمي بمنافستي في السجن "" ليس السيسي او بشار الأسد بل المرشح لرئاسة الولايات المتحدة الأميركية دونالد ترامب.",0
كمال خلف#سورية: #امريكا (تشويح) لا احتكاك عسكري.. والعودة إلى الطاولة قريبا#بوابة_الشرق_الأوسط_الجديدة… http,1
RT @user: الزمالك هيلعب يوم ١٥-١٠ ودى هتبقي الذكرى الاولي لوقفه رمضان التانيه ع الكورة 😂 http,2
@user @user @user @user @user هههه الطائي قلب علينا وصار كومدياااني...يقطع شرك روح وتحمم وادخل الاسلام من جديد,0
المشد الرياضي سويت سوت النسائيعرض مؤقت في امازونhttp #مشدات #تمارين #حرق #دهون http,1
RT @user: بلومبيرج الأمريكية: السعودية تملك احتياطات نفطية تكفيها 70 عاماً Via @user http,2
